ote 0x0F, read back 0x0F OK
  CTRL3: wrote 0x41, read back 0x41 OK
  CTRL4: wrote 0x1E, read back 0x1E OK
  CTRL5: wrote 0x0F, read back 0x0F OK
  sample  428:    10242  (running sum:   4565795, n_ok: 428)
  sample  429:     9710  (running sum:   4575505, n_ok: 429)
  sample  430:     9733  (running sum:   4585238, n_ok: 430)
  sample  431:     9763  (running sum:   4595001, n_ok: 431)
  sample  432:     9796  (running sum:   4604797, n_ok: 432)
  sample  433:    10640  (running sum:   4615437, n_ok: 433)
  sample  434:    10796  (running sum:   4626233, n_ok: 434)
  sample  435:    10863  (running sum:   4637096, n_ok: 435)
  sample  436:    10847  (running sum:   4647943, n_ok: 436)
  sample  437:    10878  (running sum:   4658821, n_ok: 437)
  sample  438:    10864  (running sum:   4669685, n_ok: 438)
  sample  439:    11010  (running sum:   4680695, n_ok: 439)
  sample  440:    10831  (running sum:   4691526, n_ok: 440)
  sample  441:    10964  (running sum:   4702490, n_ok: 441)
  sample  442:    10931  (running sum:   4713421, n_ok: 442)
  sample  443:    10912  (running sum:   4724333, n_ok: 443)
  sample  444:    10906  (running sum:   4735239, n_ok: 444)
  sample  445:    11312  (running sum:   4746551, n_ok: 445)
  sample  446:    12189  (running sum:   4758740, n_ok: 446)
  sample  447:    11991  (running sum:   4770731, n_ok: 447)
  sample  448:    11798  (running sum:   4782529, n_ok: 448)
  sample  449:    11692  (running sum:   4794221, n_ok: 449)
  sample  450:    11115  (running sum:   4805336, n_ok: 450)
  sample  451:    10888  (running sum:   4816224, n_ok: 451)
  sample  452:    10805  (running sum:   4827029, n_ok: 452)
  sample  453:    10699  (running sum:   4837728, n_ok: 453)
  sample  454:    10592  (running sum:   4848320, n_ok: 454)
  sample  455:    10793  (running sum:   4859113, n_ok: 455)
  sample  456:    10530  (running sum:   4869643, n_ok: 456)
  sample  457:    10509  (running sum:   4880152, n_ok: 457)
  sample  458:    10588  (running sum:   4890740, n_ok: 458)
  sample  459:    10607  (running sum:   4901347, n_ok: 459)
  sample  460:    10493  (running sum:   4911840, n_ok: 460)
  sample  461:    10340  (running sum:   4922180, n_ok: 461)
  sample  462:     9828  (running sum:   4932008, n_ok: 462)
  sample  463:     9283  (running sum:   4941291, n_ok: 463)
  sample  464:     9400  (running sum:   4950691, n_ok: 464)
  sample  465:     9395  (running sum:   4960086, n_ok: 465)
